empresa,associado
412929,412932
412923,412933
412933,412934
412933,412935
412933,412936
412923,412937
412937,412938
412937,412939
412937,412940
412923,412945
412945,412946
412945,412947
412945,412948
412923,412924
412924,412925
412924,412926
412924,412927
412923,412957
412874,412958
412958,412959
412958,412962
412958,412963
412958,412964
412958,412960
412958,412961
412958,412965
412874,412966
412874,412967
412874,412968
412874,412969
412824,412871
412871,412872
412871,412873
412824,412865
412865,412866
412866,412867
412866,412868
412865,412869
412865,412870
412824,412825
412825,412826
412826,412827
412827,412849
412849,412850
412849,412853
412849,412854
412849,412855
412849,412851
412849,412852
412849,412856
412827,412832
412827,412845
412845,412846
412845,412847
412845,412848
412827,412828
412828,412829
412828,412830
412828,412831
412827,412833
412833,412834
412833,412835
412833,412836
412827,412837
412837,412838
412837,412839
412837,412840
412827,412841
412841,412842
412841,412843
412841,412844
412827,412857
412857,412859
412857,412858
412857,412860
412827,412861
412826,412862
412826,412863
412825,412864
412824,412970
412824,412971
VIGR,412991
VIGR,412990
VIGR,412992
BFBL,324172
