Ranking 2011,Ranking 2010,Empresa,Sede,Setor de atividade,Receita líquida (R$ milhões),Var. (%),Capital (origem),Lucro líquido (R$ milhões),Var (%),Margem líquida (%),Rentab. do PL (%),Lucro da ativ. (R$ milhões),Lucro Financ. (R$ milhões),Lucro não oper. (R$ milhões),Ebitda (R$ milhões),Var. (%),Ativo total (R$ milhões),Patrim. líquido (R$ milhões),Endiv. oneroso (R$ milhões),Nível endiv. geral (%),Nível endiv. oneroso (%),Liq. corrente (em pontos),Crescim. sustent. (em pontos)
533,521,Stemac,RS,Eletroeletrônica,610.8,7.1,BR,27.4,-18.6,4.5,16.1,46.1,-24,0,65.8,-12.1,607.1,170.4,282.6,256.3,165.8,1.22,0.8517
534,425,Fidens,MG,Construção e Engenharia,610.4,-16.7,BR,32.4,-62.4,5.3,9.2,27.8,-8.2,0,61.7,-50.3,563.1,353.7,96.1,59.2,27.2,2.96,ND
535,369,Bardella,SP,Mecânica,610.2,-26.3,BR,38.6,157.5,6.3,8.6,11,-19.2,0,90.7,132.4,835.6,447.2,136.6,86.9,30.5,1.48,ND
536,522,Time For Fun,SP,Serviços Especializados,609.8,7.1,BR,61.1,51.7,10,18.1,90.5,4.7,0,107.8,13.3,673.9,338,135.7,99.4,40.1,1.98,0.4226
537,610,Frigelar,RS,Comércio Varejista,603.7,28.4,BR,27.7,-4.6,4.6,30.5,51.2,-14.1,0,57.9,29,300.3,90.9,54.3,230.4,59.7,1.39,0.9964
538,0,Ceva Logistics,MG,Transportes e Logística,602.9,0,HO,-18.1,0,-3,ND,-0.7,-19.3,1.8,ND,0,193.5,-68.4,0,ND,ND,0.67,0
539,689,Grupo Sinagro,MT,Comércio Atacadista e Exterior,602.3,49.3,BR,8.2,-78.5,1.4,14.6,28.9,-16.3,0,33.8,3388.9,482.2,56,172.3,761.5,307.8,1.04,1.2756
540,577,CET,SP,Transportes e Logística,600.7,19.6,BR,80,462.1,13.3,3032.5,-7.8,-3.7,0,96.3,275.7,195.1,2.6,0,7296.7,0,1.24,ND
541,628,Alelo,SP,Serviços Especializados,597.5,32.6,BR,159.7,46.9,26.7,48.5,177.5,61.7,0,181.3,41.4,2170.4,329.3,62.1,559.2,18.8,1.02,0.8353
542,569,PPE Fios Esmaltados,SP,Eletroeletrônica,596.7,17.2,BR,19,16,3.2,25.3,39.9,-11.9,0,50.3,16.9,306,75.2,137.1,307.1,182.3,1.76,ND
543,0,CVC Viagens,SP,Serviços Especializados,596.1,21.8,BR,109.9,46.7,18.4,64.5,277.6,-106.6,0,281.4,4.7,1568.6,170.3,1.3,821.1,0.8,1.11,0.4358
544,591,Beneficência Portuguesa,SP,Serviços Médicos,592.5,20.9,BR,23.1,253.8,3.9,2.8,-44.1,58,0,-26.2,30.3,1002.7,832.3,4,20.5,0.5,5.9,1.1753
545,574,CBTU,RJ,Transportes e Logística,590.8,16.8,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,571,STX OSV,PE,Veículos e Peças,590.3,16.3,NO/BR,20.9,-58.9,3.5,104.9,28.8,2.8,0,33.8,824,1125,19.9,435.8,5556,2191,0.87,ND
547,531,Via Sul,PE,Comércio Varejista,588.2,5.3,BR,6.7,-40.5,1.1,15.4,13.2,-3.7,0,18.2,-15.7,136.7,43.8,59,212,134.6,1.25,0.9163
548,0,Tecsis Wind,SP,Mecânica,587.6,39.7,BR,-230.2,-207.6,-39.2,-233.1,-279.6,-67,0,-266.3,-262.5,738,98.7,295.7,647.4,299.4,0.48,ND
549,568,Portobello,SC,Mat. de Constr. e Decoração,586.8,14.7,BR,24.4,-24.5,4.2,29.8,59.1,-29.2,0,81.7,5.1,575.5,81.8,119.8,603.6,146.5,0.88,0.4389
550,465,Terra,RS,Tecnologia da Informação,585.6,-9,EP,37.3,-85.9,6.4,12.6,41.3,7.1,0,69.3,-42.3,528.5,296.5,0,78.3,0,1.38,ND
551,0,AGV,SP,Transportes e Logística,583.1,31.7,BR,-68.7,-484.3,-11.8,-40,-28.1,-42.4,0,4.3,-87,573.1,171.7,160.1,233.7,93.2,0.78,0.8022
552,**,Marquise,CE,Construção e Engenharia,582.5,13.1,BR,29.8,-34.5,5.1,6.4,32.2,24.5,0,45.1,-22,889.5,467.5,34.8,90.3,7.4,4.36,0.8551
553,0,Ecovix Engevix,SP,Construção e Engenharia,582.3,0,BR,35.5,0,6.1,18.8,75.6,-56,0,108.5,0,1089.5,189.2,282.2,475.9,149.1,2.8,0
554,545,Biolab,SP,Farmacêutica e Cosméticos,578.8,7.3,BR,84.1,-23.2,14.5,16.6,108.1,21.1,0,121.2,-21.3,602.8,507.2,9.6,18.8,1.9,5.27,0.9379
555,615,Pamplona,SC,Alimentos,577.9,23.9,BR,15.4,951,2.7,8.5,40.1,-21.4,0,50.4,109.2,470.7,181.3,138.3,159.7,76.3,1.15,1.1513
